rank,代號,名稱,市值億
1,2330,台積電,650900
2,2454,聯發科,71300
3,2308,台達電,55800
4,2317,鴻海,37700
5,3711,日月光投控,29600
6,2327,國巨,22000
7,2383,台光電,20900
8,2303,聯電,20100
9,2881,富邦金,19400
10,2408,南亞科,17400
11,2882,國泰金,16600
12,3037,欣興,15700
13,2382,廣達,14600
14,2345,智邦,14500
15,2891,中信金,13900
16,7769,鴻勁,12400
17,1303,南亞,12100
18,2412,中華電,11200
19,2344,華邦電,9990
20,2360,致茂,9782
21,3017,奇鋐,9500
22,2885,元大金,9172
23,6669,緯穎,9023
24,2887,台新新光金,7970
25,5274,信驊,7272
26,2059,川湖,7195
27,2368,金像電,7133
28,3008,大立光,6782
29,4958,臻鼎-KY,6701
30,2886,兆豐金,6638
31,3443,創意,6372
32,6223,旺矽,6295
33,2357,華碩,5853
34,2884,玉山金,5790
35,2890,永豐金,5768
36,8299,群聯,5704
37,3653,健策,5589
38,8046,南電,5583
39,6274,台燿,5487
40,6488,環球晶,5309
41,3481,群創,5273
42,2880,華南金,5233
43,2301,光寶科,5206
44,2883,凱基金,5152
45,6505,台塑化,5144
46,3231,緯創,5073
47,2892,第一金,4645
48,2379,瑞昱,4640
49,2395,研華,4337
50,1216,統一,4222
51,3189,景碩,4194
52,2603,長榮,4179
53,2449,京元電子,4145
54,6446,藥華藥,4052
55,4904,遠傳,3896
56,3665,貿聯-KY,3882
57,5880,合庫金,3834
58,2337,旺宏,3654
59,5347,世界,3599
60,3045,台灣大,3584
61,3661,世芯-KY,3532
62,6770,力積電,3463
63,3034,聯詠,3450
64,6515,穎崴,3409
65,1301,台塑,3336
66,1326,台化,3287
67,2313,華通,3180
68,2002,中鋼,3006
69,2492,華新科,2988
70,3044,健鼎,2975
71,3036,文曄,2850
72,1590,亞德客-KY,2790
73,6239,力成,2742
74,2801,彰銀,2689
75,2207,和泰車,2680
76,1519,華城,2625
77,6415,矽力-KY,2609
78,3533,嘉澤,2605
79,2404,漢唐,2440
80,2356,英業達,2432
81,8069,元太,2343
82,3529,力旺,2325
83,2409,友達,2319
84,2912,統一超,2298
85,3105,穩懋,2286
86,2376,技嘉,2264
87,2615,萬海,2259
88,2618,長榮航,2249
89,1802,台玻,2228
90,4938,和碩,2199
91,3293,鈊象,2192
92,3081,聯亞,2192
93,6147,頎邦,2063
94,5871,中租-KY,2020
95,5876,上海商銀,2010
96,6139,亞翔,1908
97,5289,宜鼎,1898
98,3702,大聯大,1894
99,6919,康霈,1861
100,1101,台泥,1834
